08:08:49:  新建文本文档.exe - 快捷方式
16:59:33:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:58:08:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:58:33:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:58:38:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
16:58:48:  新建文件夹 (2)
16:58:53:  管理员: C:\Windows\system32\cmd.exe
16:59:03:  00-记录
16:59:08:  文件检测python
16:59:13:  管理员: C:\Windows\system32\cmd.exe
16:59:28:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
16:59:33:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:02:43:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:03:33:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:03:48:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:03:53:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:03:58:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:04:08:  于斌1
17:04:18:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
17:04:23:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:04:38:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\PlateCtrl\LowerPlateCtrl.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:04:43:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\PlateCtrl\PlateCtrl.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:04:48:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\HistoryRecord\HistoryRecord.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:05:03:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:05:23:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\MemoryConfig.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:05:28:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:05:33:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:05:48:  于斌1
17:05:53:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:06:13:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:06:18:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:06:23:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:06:28:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:06:48:  192.168.28.228:7108/yy_select/yy_dowhere.asp - Google Chrome
17:06:53:  新标签页 - Google Chrome
17:07:08:  威海市人力资源和社会保障局 - Google Chrome
17:07:18:  个人网上服务  系统登录 - Google Chrome
17:07:33:  个人网上服务 - Google Chrome
17:08:03:  下载
17:08:13:  下载 (未响应)
17:08:28:  Windows 资源管理器
17:08:33:  个人网上服务 - Google Chrome
17:08:38:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:08:43:  便签条
17:08:48:  个人网上服务 - Google Chrome
17:09:43:  Windows 任务管理器
17:10:03:  创建新任务
17:10:08:  Program Manager
17:10:13:  个人网上服务 - Google Chrome
17:10:18:  新建文本文档.exe - 快捷方式
17:10:23:  计算器
17:10:38:  个人网上服务 - Google Chrome
17:10:43:  View Available Networks
17:10:53:  下载文件.pdf - Google Chrome
17:11:58:  个人网上服务 - Google Chrome
17:12:38:  桌面整理
17:12:58:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:13:38:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:13:58:  μVision
17:14:03:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:19:19:  锁屏状态
17:19:34:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:21:29:  跳转列表
17:21:49:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:22:09:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision (未响应)
17:22:14:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:22:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision (未响应)
17:22:44:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:23:59:  锁屏状态
17:33:28:  00-06
17:33:33:  Project
17:33:43:  iTunes
17:33:48:  
17:33:53:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:34:03:  
17:34:14:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:36:19:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision (未响应)
17:36:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:36:34:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision (未响应)
17:36:44:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:36:59:  SEGGER J-Link V6.10b - Target device settings
17:37:04:  JLink - Cortex-M Error
17:37:09:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:37:59:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision (未响应)
17:38:09:  branches
17:38:14:  BR-1-CashBox1T2
17:38:19:  D:\00-06\6\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:38:29:  
17:38:34:  D:\00-06\6\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:38:39:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:38:44:  D:\00-06\6\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:39:19:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:39:24:  D:\00-06\6\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:40:24:  D:\00-06\6\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision (未响应)
17:40:34:  
17:40:39:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:40:44:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:40:59:  µVision IDE
17:41:04:  Project
17:41:09:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:41:14:  D:\00-06\6\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:41:24:  
17:41:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
17:41:34:  D:\00-06\6\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
17:43:34:  
17:43:39:  本地磁盘 (D:)
17:43:44:  新建文件夹 (2)
17:43:49:  PostWork
17:43:59:  dist
17:44:09:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
17:44:14:  
17:44:24:  PostWork
17:46:29:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
17:46:39:  无标题 - 记事本
17:46:44:  config.ini - 记事本
17:46:54:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
17:46:59:  PostWork
17:47:04:  config.ini - 记事本
17:47:19:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
17:47:29:  PostWork
17:47:34:  config.ini - 记事本
17:47:39:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
17:47:59:  文档
17:48:09:  PostWork.py - C:\Users\zhangkaifa\Documents\PostWork.py (3.7.3)
17:48:14:  文档
17:48:19:  新建文件夹 (2)
17:48:24:  PostWork
17:48:29:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
17:48:49:  新建文件夹 (2)
17:48:54:  config.ini - 记事本
17:49:09:  *Python 3.7.3 Shell*
17:49:19:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
17:49:29:  *Python 3.7.3 Shell*
17:49:39:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
17:49:44:  Python 3.7.3 Shell
17:49:49:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
17:49:54:  Python 3.7.3 Shell
17:50:04:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
17:50:24:  Python 3.7.3 Shell
17:50:29:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
17:50:34:  Python 3.7.3 Shell
17:50:39:  文档
17:50:49:  PostWork.py - C:\Users\zhangkaifa\Documents\PostWork.py (3.7.3)
17:50:54:  
17:50:59:  Python 3.7.3 Shell
17:51:09:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
17:51:39:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
17:51:44:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
17:51:49:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
17:51:59:  *Python 3.7.3 Shell*
17:52:09:  文档
17:52:14:  管理员: C:\Windows\system32\cmd.exe
17:52:19:  记录
17:52:24:  管理员: C:\Windows\system32\cmd.exe
17:52:34:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
17:54:45:  管理员: C:\Windows\system32\cmd.exe
17:54:50:  文件检测python
17:55:00:  新建文件夹 (2)
17:55:05:  PostWork
